[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1624490.0640997216, 0.7692307692307693]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1609070.5969710934, 0.7209302325581395]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1551446.9822789095, 0.6774193548387096]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 100000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1524204.7806626118, 0.7333333333333333]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1503812.4328942706, 0.72]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1479357.0502129805, 0.7608695652173914]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1441015.6303756358, 0.7647058823529411]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1424026.0063021674, 0.7142857142857143]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 1.0, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1413021.1682201126, 0.8]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1310964.2934623766, 0.7586206896551724]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1295754.059532023, 0.6571428571428571]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1274275.6534423768, 0.7619047619047619]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1270003.1644440074, 0.6875]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1170356.4761659577, 0.7105263157894737]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1131331.1089127392, 0.6571428571428571]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1124131.6211147886, 0.6666666666666666]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1065389.5482487138, 0.6976744186046512]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 973776.5261917158, 0.6923076923076923]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 815045.9001337066, 0.6428571428571429]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 100000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 694438.870480549, 0.6956521739130435]
[{'market': 'KOSPI', 'position_bid': 0.0, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 629993.1062900873, 0.65625]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 100000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 269422.46844991576, 0.6274509803921569]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 100000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 131423.55956257108, 0.6842105263157895]
